domain;shipping_policy;shipping_url;return_policy;return_url;self_help_returns;self_help_url;insurance;insurance_url;analyzed_at
www.bestbuy.com;Analysis failed - manual review required;https://www.bestbuy.com/;Analysis failed - manual review required;https://www.bestbuy.com/;Analysis failed - manual review required;https://www.bestbuy.com/;Analysis failed - manual review required;https://www.bestbuy.com/;2025-08-24 23:43:09.733681
www.walmart.com;Analysis failed - manual review required;https://www.walmart.com/;Analysis failed - manual review required;https://www.walmart.com/;Analysis failed - manual review required;https://www.walmart.com/;Analysis failed - manual review required;https://www.walmart.com/;2025-08-24 23:47:18.015815
www.walmart.com;Information on shipping policy was not found in the provided content.;https://www.walmart.com/;Information on return policy was not found in the provided content.;https://www.walmart.com/us/returns;No - Information on self-service returns was not found in the provided content.;https://www.walmart.com/account/login;No - Information on insurance or protection plans was not found in the provided content.;https://www.walmart.com/accident-protection;2025-08-25 01:20:26.925184
www.walmart.com;The website mentions free delivery to your door with Walmart+, but no specific details about shipping costs, timeframes, or conditions are provided.;https://www.walmart.com/;No return policy information is provided in the given content.;https://www.walmart.com/;No information provided about self-service returns.;https://www.walmart.com/;No information provided about shipping insurance, protection plans, or warranties.;https://www.walmart.com/;2025-08-25 01:24:31.902892
www.walmart.com;Walmart offers free delivery to your door with Walmart+ membership. Specific delivery timeframes or costs for non-members are not mentioned.;https://www.walmart.com/;No specific return policy information is provided in the provided content.;https://www.walmart.com/;No information about self-service returns is provided in the content.;https://www.walmart.com/;No information about shipping insurance, protection plans, or warranties is provided in the content.;https://www.walmart.com/;2025-08-25 01:30:40.133870
www.wayfair.ca;Information not directly provided in the content.;https://www.wayfair.ca/;Information not directly provided in the content.;https://www.wayfair.ca/;Information not directly provided in the content.;https://www.wayfair.ca/;Information not directly provided in the content.;https://www.wayfair.ca/;2025-08-25 01:53:56.046939
www.wayfair.com;Information not available;https://www.wayfair.com/;Information not available;https://www.wayfair.com/;Information not available;https://www.wayfair.com/;Information not available;https://www.wayfair.com/;2025-08-25 01:54:05.745026
www.costco.com;Standard shipping is via UPS SurePost, which may utilize USPS for the final delivery. Larger orders may be delivered via UPS Ground. Express shipping is available via UPS. Delivery is available to Alaska, Hawaii and Puerto Rico, but an additional Shipping and Handling fee will apply. Delivery is estimated to take approximately 3 - 5 business days from time of order.;https://www.costco.com/puma-men%26apos%3bs-no-show-sock%2c-10-pair.product.100825224.html;Costco.com products can be returned to any of the more than 800 Costco warehouses worldwide. Certain items may not be available for return or refund or may have limitations on their eligibility for return or refund. Costco offers a risk-free 100% satisfaction guarantee on your membership and merchandise with some exceptions and limitations.;https://www.costco.com/puma-men%26apos%3bs-no-show-sock%2c-10-pair.product.100825224.html;No - returns require contacting customer service or visiting a local Costco warehouse.;https://www.costco.com/;Yes - Costco offers Technical and Warranty Services for select electronics and consumer goods. For manufacturer warranty information, customers are advised to contact Costco.;https://www.costco.com/puma-men%26apos%3bs-no-show-sock%2c-10-pair.product.100825224.html;2025-08-25 03:32:56.577732
www.bestbuy.com;International customers can shop on www.bestbuy.com and have orders shipped to any U.S. address or U.S. store.;https://www.bestbuy.com/;No specific return policy information found in the provided content.;https://www.bestbuy.com/;No - No specific information about self-service returns found in the provided content.;https://www.bestbuy.com/us/en/help;No - No specific information about insurance or protection plans found in the provided content.;https://www.bestbuy.com/us/en/help;2025-08-25 03:35:38.329700
www.wayfair.com;Information not readable;https://www.wayfair.com/;Information not readable;https://www.wayfair.com/;Information not readable;https://www.wayfair.com/;Information not readable;https://www.wayfair.com/;2025-08-25 04:20:41.593144
